Date,Close,High,Low,Open,Volume
2010-12-07,229.40939331054688,237.88955193012765,228.22265307932798,236.40614173113292,2381064
2010-12-08,230.64556884765625,231.90646148281994,224.34107549178,229.8791311895912,1799818
2010-12-09,223.87136840820312,232.8954489680037,217.4927062633916,232.4009788003434,1793888
2010-12-10,233.48880004882812,234.37884024158132,222.51155719137466,223.8713500408775,1989310
2010-12-13,232.00537109375,234.89800903363553,224.76137223976588,234.3788214777662,1349510
2010-12-14,231.18948364257812,234.18103672943826,227.60457550404797,232.4009413943691,2186760
2010-12-15,222.43736267089844,230.91752130243609,219.59415978548301,230.91752130243609,3012376
2010-12-16,229.5577392578125,230.64557949170737,221.0775802332304,222.7587755210437,1502864
2010-12-20,222.4620819091797,236.75226394206445,221.5473092598885,236.75226394206445,1561148
2010-12-21,224.8602752685547,227.08539069177294,222.51154232182432,224.34108770581565,1867612
2010-12-22,224.71194458007812,226.96177751507614,223.1296342128063,226.96177751507614,1166742
2010-12-23,222.0665283203125,225.33003404817205,220.87980308018996,224.48942882931894,1487432
2010-12-24,222.98130798339844,223.99496569944773,220.58312486905166,222.06653523792218,1625458
2010-12-27,221.25062561035156,224.83553340320879,219.61886542303418,223.25322323793645,599776
2010-12-28,222.09124755859375,223.99496050584372,220.28643466965426,222.26431511562197,1501800
2010-12-29,221.96763610839844,224.24220170154706,220.78091082633023,223.99496663903156,1401034
2010-12-30,220.0144500732422,223.5004578150992,218.80299244066683,223.03070524164474,2217442
2010-12-31,224.3163299560547,225.97280760309832,220.03916714087254,220.03916714087254,895414
2011-01-03,226.02227783203125,227.43152058580606,225.42890769674838,226.41784786220026,880360
2011-01-04,227.70346069335938,229.43410588864006,225.9728154980787,225.9728154980787,1265216
2011-01-05,221.96763610839844,229.85444063865475,220.53367576381476,227.4562575142484,1187010
2011-01-06,220.08863830566406,224.93443911265172,218.95134805379956,222.5115387091579,921236
2011-01-07,215.19337463378906,222.3137404296804,213.56161439325385,218.55576498211792,1770850
2011-01-10,204.16668701171875,215.19337852556376,198.77696631617644,214.60000841099645,3052810
2011-01-11,206.6390380859375,212.350176416697,200.50761227003827,204.63644034958492,2549938
2011-01-12,209.53172302246094,212.3749263437097,205.2051092727346,207.72691001915277,2022802
2011-01-13,201.07626342773438,214.00665354278166,199.12311558402536,210.14979279340872,2083728
2011-01-14,196.6507568359375,209.08667632891513,194.62342649009736,201.24932254354988,1614490
2011-01-17,199.6670379638672,202.68330885804792,195.06847166407263,198.13419259062314,1564158
2011-01-18,200.3592529296875,204.7105829565206,198.52970786725368,202.18878290209426,1676648
2011-01-19,204.56227111816406,206.63903632894022,199.32088543187012,201.96630328717228,1626700
2011-01-20,207.1334991455078,208.17188925958266,201.44709361941472,205.0567340073864,2422248
2011-01-21,204.5128173828125,208.12244274153778,203.22719222421566,206.6884826027303,1094014
2011-01-24,204.78475952148438,208.86413726131485,202.80687940520295,205.2545120851123,1202072
2011-01-25,200.30982971191406,208.0235658734029,199.51867457662794,205.65010046754452,1449932
2011-01-27,193.98060607910156,202.23826243966693,192.84333093268972,201.74379236035233,1770182
2011-01-28,187.67608642578125,195.06841911784215,185.05540140647003,193.83224409174682,1941596
2011-01-31,190.49461364746094,191.70607147694824,182.68199179085826,187.3547253688153,1627662
2011-02-01,186.2915802001953,194.49978555747947,184.9317876439895,190.7418103841416,2341332
2011-02-02,184.14064025878906,191.33518840968392,181.59412256552858,186.7366079741574,1572216
2011-02-03,187.18167114257812,188.8628817416334,182.23696959248986,183.89344762977575,832118
2011-02-04,177.88558959960938,188.39307751897476,176.2043945505164,186.93438492474598,1501596
2011-02-07,177.91033935546875,181.22329512500758,177.06974922336815,178.87456210496995,1950688
2011-02-08,167.1061553955078,180.11071136025046,165.67218021313613,178.1575486739359,2105736
2011-02-09,176.006591796875,179.29481407823698,164.65849995327412,165.74633992290973,4345400
2011-02-10,179.49266052246094,183.2506365982377,171.65530579844645,175.56161687996484,2348032
2011-02-11,186.9591522216797,189.13481769480342,176.03135973686278,179.73988557401577,1822808
2011-02-14,196.87326049804688,198.28250325238517,187.45361145436303,187.45361145436303,2056812
2011-02-15,203.40025329589844,206.19400599460633,194.07949005487527,196.7990752658353,3005086
2011-02-16,202.43603515625,204.71060040093272,197.88691975691296,203.17774023016642,3216584
2011-02-17,203.64752197265625,205.13093233289408,200.2603986321071,202.2382791124242,1720066
2011-02-18,201.9910430908203,207.97413453330358,200.77958526638093,204.71062873830994,2947398
2011-02-21,203.79583740234375,205.20508012724753,200.5323319052058,202.01574212299315,1424562
2011-02-22,202.1393585205078,204.95784395469005,198.30721547913544,202.68327861535357,1878434
2011-02-23,201.71905517578125,203.62275272304595,200.38398005611432,201.76849010685737,1911240
2011-02-24,198.80166625976562,201.99100393688533,193.21416104856291,200.01312384937606,10707146
2011-02-25,199.76589965820312,202.68326992728507,192.20051394973302,198.7769595608853,1527404
2011-02-28,200.2850799560547,211.50955569215196,198.77695239800138,201.74377258304617,2617062
2011-03-01,204.9084014892578,207.57853694697397,201.39766084576547,203.10358868571083,2033724
2011-03-03,205.1309051513672,210.64424324168252,200.26037209596578,204.9578376142662,2927052
2011-03-04,207.28184509277344,211.26232284590094,205.25451492750466,207.67741508549653,1983318
2011-03-07,205.8231964111328,207.38077433894054,200.75487746046826,206.19404901727899,1953826
2011-03-08,209.25973510742188,211.13871529653179,203.22719434865238,204.24085193408794,1548170
2011-03-09,213.48744201660156,216.03395973139382,210.1003191889521,210.1497692114781,3265082
2011-03-10,211.13873291015625,212.77047820576846,208.41914735744933,212.12767311114058,1498716
2011-03-11,207.8010711669922,209.6306166755039,204.04309517844672,208.1719237627691,2225066
2011-03-14,210.69369506835938,212.47379029800857,205.37814193636854,206.6884845741559,1239562
2011-03-15,205.92205810546875,207.67742074480037,203.74637781611958,205.20507049783845,1482080
2011-03-16,209.55642700195312,210.14979717115438,206.19403628322675,207.40549409116667,699752
2011-03-17,211.18820190429688,213.58638512506246,205.6995802779136,207.67746085750892,2084730
2011-03-18,208.98776245117188,214.05608043545928,207.70213731032257,214.05608043545928,2307336
2011-03-21,208.0482635498047,210.27337866798442,206.24345097195334,209.65529113515672,1635582
2011-03-22,208.2213897705078,209.65535023286773,207.23244943922072,207.6774695702935,768816
2011-03-23,213.95721435546875,214.84725448302294,207.77633821959353,207.77633821959353,4846358
2011-03-24,220.63255310058594,222.19013081600326,214.60001216052274,214.60001216052274,1773138
2011-03-25,224.16798400878906,224.98385651440728,218.18489381754333,221.81925144078153,4567764
2011-03-28,223.77243041992188,226.9123184705102,222.0912351527655,224.48941807754696,2030960
2011-03-29,225.57723999023438,226.862850031936,223.10488977153398,223.4510097481351,1696034
2011-03-30,227.01121520996094,228.2473904015965,224.39051474967602,226.1953426014873,1306600
2011-03-31,226.39312744140625,228.9396453162267,223.67354202188304,227.06066506238597,2900906
2011-04-01,223.0059814453125,228.44515172446646,221.5720213897229,225.99751906283612,1017676
2011-04-04,228.0248565673828,229.43409920333997,220.65725596872946,222.51151862392885,1458634
2011-04-05,225.52777099609375,229.92855099717406,223.30265598644368,229.92855099717406,979124
2011-04-06,222.75875854492188,227.08537150223168,221.5967509040958,225.72557885850574,1364690
2011-04-07,220.31112670898438,224.3905046579154,219.000784082788,222.3631895068331,1627024
2011-04-08,218.6299285888672,222.01705143387065,217.12180097928095,219.81665368543008,631874
2011-04-11,218.9019317626953,221.0281472776763,217.66575644235036,217.66575644235036,1376532
2011-04-13,225.42892456054688,226.4673148299567,217.09710002532512,218.06132279478365,1471390
2011-04-15,223.47576904296875,227.80238244336894,222.16541119825212,224.4647092487745,1387518
2011-04-18,222.38792419433594,224.83555718924043,220.03919125398443,223.99495199562907,2993616
2011-04-19,218.85244750976562,221.89343530428667,217.56682235963484,220.53364266453895,885646
2011-04-20,227.6293182373047,228.34629084304106,219.3222113323379,220.65728666582388,1107028
2011-04-21,228.19796752929688,229.70609540653336,224.98391164860257,227.87656495923366,665152
